iter	Logloss
758	0.1100813046
759	0.1099268644
760	0.1097923322
761	0.1097586022
762	0.1096249291
763	0.1094365833
764	0.1092294899
765	0.10907003
766	0.108942689
767	0.1088808455
768	0.1087541986
769	0.1086419644
770	0.1084747762
771	0.1084043834
772	0.1081489399
773	0.1080645393
774	0.1079197229
775	0.1077678569
776	0.1076133822
777	0.1074406441
778	0.1071609046
779	0.1070106332
780	0.1068283416
781	0.1067119193
782	0.1065231213
783	0.1063978527
784	0.1061482781
785	0.1059690784
786	0.1057632972
787	0.1056900488
788	0.1054744253
789	0.1053203495
790	0.1051831329
791	0.1050726031
792	0.1049343135
793	0.1048388982
794	0.1046777683
795	0.10449179
796	0.1043044773
797	0.1042192359
798	0.104063619
799	0.1039549441
800	0.1038069373
801	0.1036380295
802	0.1034536792
803	0.103335896
804	0.1031973532
805	0.1029987038
806	0.1028894547
807	0.1026898969
808	0.1025442938
809	0.1024576608
810	0.1022987456
811	0.1021988039
812	0.1020949153
813	0.1018599395
814	0.1017425125
815	0.1016026412
816	0.1014776504
817	0.1013693194
818	0.1012702533
819	0.1010640746
820	0.1009763096
821	0.1008739324
822	0.1007749505
823	0.1006375118
824	0.1005867138
825	0.1005090527
826	0.1002934432
827	0.1000883937
828	0.09996558537
829	0.09985168698
830	0.09971479883
831	0.09947729597
832	0.09940942514
833	0.09929287203
834	0.0992146835
835	0.09897837055
836	0.09886635737
837	0.09872123684
838	0.09863647819
839	0.09853546364
840	0.09845351261
841	0.09837260636
842	0.09826732521
843	0.09809685508
844	0.09798141438
845	0.09791162367
846	0.09781790205
847	0.0976904981
848	0.09761967975
849	0.0975471853
850	0.09745723301
851	0.0973681012
852	0.09730003634
853	0.09712460674
854	0.09700150855
855	0.09691304005
856	0.09680505273
857	0.09666672653
858	0.0965528257
859	0.09639121343
860	0.09621721689
861	0.09608239896
862	0.095965098
863	0.09581448947
864	0.09567306759
865	0.09559817971
866	0.0954339132
867	0.09535410307
868	0.09515974473
869	0.09504013536
870	0.09491679255
871	0.09474708037
872	0.09460540256
873	0.09449318781
874	0.09432159784
875	0.09421040428
876	0.09409898434
877	0.09401215473
878	0.09388305995
879	0.09373200451
880	0.09365436094
881	0.09353862076
882	0.09346112025
883	0.09322494743
884	0.09316912719
885	0.09301960602
886	0.09287290354
887	0.09273651948
888	0.09254225748
889	0.09239574464
890	0.09229572513
891	0.0921992291
892	0.0921244856
893	0.09207108884
894	0.09198954409
895	0.09189755333
896	0.0917621604
897	0.09160053767
898	0.09146319883
899	0.0913393714
900	0.09123853165
901	0.09110640093
902	0.09102544809
903	0.09083511428
904	0.09079612664
905	0.09066163691
906	0.09048208302
907	0.09037513879
908	0.09025223876
909	0.09005724192
910	0.08994487962
911	0.08989133543
912	0.0897467629
913	0.08967075238
914	0.08955507911
915	0.08943089149
916	0.08928910384
917	0.08917629208
918	0.08909394778
919	0.08901437849
920	0.08886889961
921	0.08876919686
922	0.08859699174
923	0.08839348542
924	0.08818994213
925	0.08805298355
926	0.08798383669
927	0.08791559095
928	0.08783156738
929	0.08772042065
930	0.08762490956
931	0.08752168113
932	0.08739448591
933	0.0872850266
934	0.08712889722
935	0.08697635677
936	0.08683837105
937	0.08677584006
938	0.08671369273
939	0.08657874672
940	0.08647379012
941	0.08640960942
942	0.08628383583
943	0.08622041989
944	0.08613187975
945	0.08608844086
946	0.08592902592
947	0.08578896839
948	0.08568820783
949	0.08563090052
950	0.08556009945
951	0.08545022084
952	0.08536937602
953	0.08527780114
954	0.08504946426
955	0.08492885682
956	0.08486437627
957	0.08469743753
958	0.08458934998
959	0.08444256977
960	0.08428018726
961	0.08413466385
962	0.08403673513
963	0.08393845266
964	0.08373311758
965	0.08361362389
966	0.08346657072
967	0.08328245148
968	0.08319738057
969	0.083092545
970	0.08298678495
971	0.08283374018
972	0.08270714916
973	0.08256106669
974	0.08245003783
975	0.08237666524
976	0.08223802897
977	0.08215189418
978	0.0820195344
979	0.0819452422
980	0.08187599523
981	0.08177332513
982	0.08163933413
983	0.08155509112
984	0.08145881429
985	0.08138306554
986	0.08131020239
987	0.08124841938
988	0.08111704199
989	0.08101504457
990	0.08095799782
991	0.08082605454
992	0.08073548249
993	0.08066937194
994	0.08055114381
995	0.08047617114
996	0.0803495575
997	0.0802943962
998	0.08014710996
999	0.08005593796
